City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Netrakona,24.8833,90.7167,71.31,55,54,4.05,BD,1638240496
Le Havre,49.4938,0.1077,45.52,93,90,19.57,FR,1638240496
Ketchikan,55.3422,-131.6461,41.47,87,90,10.36,US,1638240497
Hastings,50.8552,0.5729,45.28,84,96,21.77,GB,1638240494
Solenzo,12.1833,-4.0833,74.35,16,32,3.36,BF,1638240497
Praia da Vitória,38.7333,-27.0667,56.75,94,40,7.56,PT,1638240497
Isangel,-19.55,169.2667,83.62,71,95,5.79,VU,1638240461
Luau,-10.7073,22.2247,63.41,98,100,3.09,AO,1638240498
Maraã,-1.8333,-65.3667,73.81,97,90,3.51,BR,1638240498
Airai,-8.9266,125.4092,76.44,50,52,2.13,TL,1638240499
Bibiani,6.4635,-2.3194,71.58,98,33,1.66,GH,1638240499
Xaçmaz,41.4635,48.806,52.54,58,14,5.21,AZ,1638240287
Xiongzhou,25.1167,114.3,59.5,68,99,4.94,CN,1638240499
Imeni Babushkina,59.7573,43.1285,30.96,97,100,12.71,RU,1638240500
Samarai,-10.6167,150.6667,85.3,73,9,12.03,PG,1638240500
Tautira,-17.7333,-149.15,77.02,76,100,20.0,PF,1638240500
Khāsh,28.2211,61.2158,51.84,47,89,1.25,IR,1638240431
Ostrovnoy,68.0531,39.5131,8.94,90,100,5.19,RU,1638240501
Houston,29.7633,-95.3633,59.09,82,1,1.01,US,1638240234
San Rafael,-34.6177,-68.3301,72.54,29,4,5.17,AR,1638240501
Itarema,-2.9248,-39.9167,80.6,78,41,13.65,BR,1638240283
Safford,32.834,-109.7076,57.06,32,1,6.91,US,1638240502
Rocha,-34.4833,-54.3333,63.1,94,99,18.75,UY,1638240461
Burnie,-41.0667,145.9167,63.09,65,4,8.99,AU,1638240502
Gizo Government Station,-8.103,156.8419,85.33,71,77,9.91,SB,1638240502
Vanino,49.0869,140.2543,24.1,71,100,3.56,RU,1638240503
Denpasar,-8.65,115.2167,80.26,88,75,12.66,ID,1638240503
Grindavik,63.8424,-22.4338,34.9,93,75,17.27,IS,1638240503
Grand Gaube,-20.0064,57.6608,80.38,66,9,3.0,MU,1638240504
Lenger,42.183,69.8839,29.64,37,100,5.28,KZ,1638240504
Bonavista,48.6499,-53.1147,46.11,90,89,24.43,CA,1638240504
Mīnāb,27.1467,57.0801,65.7,70,0,4.09,IR,1638240505
Andapa,-14.65,49.65,68.29,94,62,0.31,MG,1638240505
Aktau,43.65,51.2,37.98,83,66,16.13,KZ,1638240505
Lima,-12.0432,-77.0282,66.9,79,0,9.22,PE,1638240506
Bhainsdehi,21.6467,77.6325,65.3,40,93,3.04,IN,1638240506
São João da Barra,-21.6403,-41.0511,74.79,94,91,14.14,BR,1638240506
Constitución,-35.3333,-72.4167,52.27,92,4,8.72,CL,1638240356
Pyshma,56.9523,63.2513,31.24,95,100,6.13,RU,1638240507
Ilulissat,69.2167,-51.1,30.22,93,75,3.44,GL,1638240507
Horasan,40.0458,42.1728,42.4,76,100,1.07,TR,1638240508
Half Moon Bay,37.4636,-122.4286,63.95,78,1,5.99,US,1638240230
Pitkyaranta,61.5734,31.4792,20.41,93,100,19.93,RU,1638240508
Finschhafen,-6.6024,147.8681,81.97,81,100,1.1,PG,1638240508
Dindori,22.95,81.0833,63.99,46,72,3.27,IN,1638240509
Carutapera,-1.195,-46.02,77.22,90,47,6.15,BR,1638240509
Daru,-9.0763,143.2092,85.15,74,94,7.14,PG,1638240509
Río Gallegos,-51.6226,-69.2181,53.65,40,0,16.11,AR,1638240510
Ust'-Koksa,50.2696,85.6108,10.0,81,52,0.83,RU,1638240510
Bull Savanna,17.8868,-77.5902,73.42,78,100,4.18,JM,1638240510
Poya,-21.35,165.15,85.26,64,52,5.3,NC,1638240511
Rio Grande,-32.035,-52.0986,67.33,80,100,22.03,BR,1638240511
Vestmanna,62.1564,-7.1664,31.12,74,90,3.44,FO,1638240511
Kamiiso,41.8167,140.65,52.18,66,75,3.44,JP,1638240512
Berlevåg,70.8578,29.0864,19.22,88,62,29.35,NO,1638240512
Te Anau,-45.4167,167.7167,70.47,39,46,3.22,NZ,1638240512
Pacific Grove,36.6177,-121.9166,64.63,90,1,3.0,US,1638240513
Lorengau,-2.0226,147.2712,85.21,71,100,9.8,PG,1638240513
Pathein,16.7833,94.7333,77.16,70,100,12.3,MM,1638240513
São Filipe,14.8961,-24.4956,74.73,70,100,13.11,CV,1638240513
Biak,-0.9131,122.8766,80.38,74,99,0.96,ID,1638240514
Yumen,40.2833,97.2,22.26,54,55,14.85,CN,1638240514
Harlingen,26.1906,-97.6961,63.9,97,1,0.0,US,1638240514
Nuuk,64.1835,-51.7216,34.41,93,90,43.73,GL,1638240515
Turka,49.1541,23.0297,30.25,93,90,7.4,UA,1638240515
Porto Santo,33.072,-16.3415,60.71,77,40,5.75,PT,1638240516
Springbok,-29.6643,17.8865,48.38,93,25,0.85,ZA,1638240516
Luwuk,-0.9516,122.7875,83.05,74,99,0.16,ID,1638240516
Øksfjord,70.2396,22.3479,18.52,84,46,12.97,NO,1638240516
Saint-Joseph,-21.3667,55.6167,75.58,78,23,8.23,RE,1638240517
Lufilufi,-13.8745,-171.5986,87.58,78,28,14.65,WS,1638240517
Micheweni,-4.9667,39.8333,77.74,85,72,2.1,TZ,1638240518
Zeya,53.75,127.2667,11.14,65,90,1.97,RU,1638240518
Fort Saint James,54.4333,-124.25,32.23,95,100,3.96,CA,1638240518
Oktyabr'skiy,54.4815,53.471,29.57,75,100,17.13,RU,1638240519
Wuzhou,23.4833,111.3167,66.34,47,7,7.92,CN,1638240519
Kibungo,-2.1597,30.5427,61.72,96,100,0.89,RW,1638240519
Nouadhibou,20.931,-17.0347,60.78,82,7,20.71,MR,1638240519
Ust-Tsilma,65.441,52.1498,-13.7,100,91,2.33,RU,1638240520
Librazhd,41.1794,20.315,45.7,100,100,7.31,AL,1638240520
Dunmore East,52.1514,-6.9861,51.33,70,94,14.76,IE,1638240520
Fortuna Foothills,32.6578,-114.4119,74.68,25,1,4.61,US,1638240518
Praia,14.9215,-23.5087,73.94,68,75,23.02,CV,1638240521
Alofi,-19.0595,-169.9187,82.29,54,40,11.5,NU,1638240521
Atambua,-9.1061,124.8925,85.59,57,59,1.7,ID,1638240522
Cockburn Town,21.4612,-71.1419,79.34,73,98,11.39,TC,1638240522
Christchurch,-43.5333,172.6333,67.03,66,75,8.01,NZ,1638240415
Port Montt,-41.4698,-72.9447,50.83,87,0,8.05,CL,1638240522
Turochak,52.2576,87.1224,17.6,86,100,2.55,RU,1638240523
Mocajuba,-2.5842,-49.5072,74.88,94,17,2.59,BR,1638240523
Ulm,48.3984,9.9916,33.66,92,100,7.0,DE,1638240524
Gigmoto,13.7796,124.39,85.28,72,96,3.8,PH,1638240524
Taguatinga,-12.3857,-46.5711,72.36,93,100,2.15,BR,1638240524
Laguna,38.421,-121.4238,63.25,83,1,3.44,US,1638240525
Ust'-Omchug,61.15,149.6333,-15.14,96,100,5.53,RU,1638240525
Goroka,-6.0834,145.3873,71.42,84,91,3.13,PG,1638240525
Khasan,42.4308,130.6434,33.37,97,100,12.08,RU,1638240526
Long Xuyen,10.3833,105.4167,76.95,92,100,9.42,VN,1638240526
Suez,29.9737,32.5263,71.01,48,49,7.87,EG,1638240526
Tooele,40.5308,-112.2983,50.95,93,1,0.0,US,1638240526
Maihar,24.2667,80.75,64.45,48,45,2.57,IN,1638240527
San Jorge,-31.8962,-61.8598,69.01,67,0,1.07,AR,1638240527
Oswego,43.4501,-76.1497,30.45,93,22,3.38,US,1638240527
Arkhangel’skoye,55.8549,35.3287,40.3,98,100,5.28,RU,1638240528
Miyako,39.6367,141.9525,57.97,52,23,6.17,JP,1638240528
Akdağmadeni,39.6603,35.8836,56.89,41,100,19.8,TR,1638240528
Vicuña,-30.0319,-70.7081,51.53,61,0,0.87,CL,1638240529
Loa Janan,-0.583,117.095,88.45,56,45,4.0,ID,1638240529
Trivandrum,8.4833,76.9167,78.78,89,75,3.44,IN,1638240271
Beloha,-25.1667,45.05,66.78,87,7,6.22,MG,1638240529
Monaragala,6.8714,81.3487,77.52,82,100,3.89,LK,1638240529
Novikovo,51.1537,37.8879,46.2,73,100,20.2,RU,1638240530
Broken Hill,-31.95,141.4333,85.71,30,75,6.91,AU,1638240530
Corinth,37.9407,22.9573,60.69,74,61,17.78,GR,1638240401
Maragogi,-9.0122,-35.2225,78.69,84,77,9.31,BR,1638240531
Coruripe,-10.1256,-36.1756,79.03,83,97,15.14,BR,1638240531
Boden,65.8252,21.6886,6.8,98,92,3.49,SE,1638240531
Bealanana,-14.55,48.7333,64.36,92,44,2.68,MG,1638240531
Touros,-5.1989,-35.4608,81.5,78,46,12.15,BR,1638240532
Zlatograd,41.3833,25.1,50.34,91,100,10.4,BG,1638240327
Harper,4.375,-7.7169,78.49,83,68,4.27,LR,1638240532
Pochutla,15.7432,-96.4661,78.82,78,0,3.04,MX,1638240532
Shimoda,34.6667,138.95,62.96,58,75,12.21,JP,1638240533
Sinazongwe,-17.2614,27.4618,77.99,55,21,9.8,ZM,1638240533
Sabzawār,36.2126,57.6819,47.55,49,2,3.31,IR,1638240533
Sexsmith,55.35,-118.786,25.57,74,75,6.91,CA,1638240323
Rio Verde de Mato Grosso,-18.9181,-54.8442,75.07,91,100,2.82,BR,1638240339
Abalak,58.1286,68.5944,25.63,97,87,5.26,RU,1638240534
Chistoye,56.5375,43.0045,40.6,95,100,15.77,RU,1638240534
Linxia Chengguanzhen,35.6003,103.2064,29.19,43,0,1.1,CN,1638240534
Ngaoundéré,7.3167,13.5833,67.71,29,94,2.55,CM,1638240535
Itoman,26.1247,127.6694,77.4,80,75,16.11,JP,1638240535
Chul'man,56.8479,124.9104,-4.47,95,100,0.47,RU,1638240535
Anamur,36.0751,32.8369,60.82,67,100,8.61,TR,1638240536
Henties Bay,-22.116,14.2845,59.86,94,1,6.89,NA,1638240536
Tamala,52.541,43.2515,49.15,83,100,28.83,RU,1638240536
Geraldton,-28.7667,114.6,75.61,50,75,16.11,AU,1638240537
Didam,51.9372,6.1276,40.08,90,100,20.8,NL,1638240537
Iaciara,-14.0958,-46.6317,70.36,92,99,4.47,BR,1638240537
Nampula,-15.1165,39.2666,71.55,88,20,3.44,MZ,1638240538
Ushtobe,45.2514,77.9838,32.18,42,0,2.98,KZ,1638240538
Tortolì,39.9256,9.6572,46.22,66,0,28.77,IT,1638240538
Mackay,-21.15,149.2,86.68,74,13,11.5,AU,1638240539
Vila Franca do Campo,37.7167,-25.4333,62.2,76,78,5.5,PT,1638240539
Amga,60.8953,131.9608,-7.78,95,99,1.99,RU,1638240539
Honāvar,14.2833,74.45,80.83,69,99,11.39,IN,1638240540
Kipushi,-11.7667,27.2333,66.25,64,85,2.62,CD,1638240540
Ferkessédougou,9.6,-5.2,73.13,38,13,2.33,CI,1638240540
Fairbanks,64.8378,-147.7164,-12.41,75,1,0.0,US,1638240320
Kalabo,-14.97,22.6814,68.05,81,87,4.38,ZM,1638240541
Cubulco,15.1333,-90.5833,65.44,97,5,4.23,GT,1638240541
Vysokogornyy,50.1167,139.15,15.48,76,94,2.91,RU,1638240541
Okhotsk,59.3833,143.3,-8.97,88,19,17.16,RU,1638240542
Roebourne,-20.7833,117.1333,99.54,24,0,11.61,AU,1638240542
Murgab,37.4966,61.9714,44.47,70,20,6.91,TM,1638240542
Kamenka,51.3223,42.7678,52.75,85,100,24.74,RU,1638240543
Pudozh,61.8099,36.5345,17.53,90,100,16.08,RU,1638240543
Cartagena,10.3997,-75.5144,82.02,83,40,11.5,CO,1638240502
Nipawin,53.3668,-104.0009,30.24,69,75,13.8,CA,1638240544
Beidao,34.5686,105.8933,40.93,29,0,1.54,CN,1638240544
Bundaberg,-24.85,152.35,84.22,73,75,8.99,AU,1638240544
Capim Grosso,-11.3811,-40.0128,71.1,89,90,2.82,BR,1638240545
Los Baños,14.1667,121.1833,87.8,60,100,3.42,PH,1638240545
Vammala,61.3333,22.9,13.41,86,100,7.49,FI,1638240546
Totskoye,52.5248,52.7623,28.6,79,100,16.6,RU,1638240546
Peniche,39.3558,-9.3811,56.62,78,83,0.89,PT,1638240546
Mackenzie,55.2999,-123.1698,28.62,100,90,4.61,CA,1638240323
Sørland,67.667,12.6934,31.6,83,100,8.55,NO,1638240547
